"sg_ue";"nr_candidato";"nm_urna_candidato";"sg_partido";"ds_composicao_coligacao";"ds_situacao";"qt_votos_candidato";"pr_votos_candidato";"cd_eleicao";"sg_abrangencia";"turno";"cd_cargo";"qt_sessoes";"qt_sessoes_t";"qt_sessoes_nt";"qt_sessoes_i";"qt_sessoes_ni";"qt_sessoes_apuradas";"qt_sessoes_nao_apuradas";"qt_eleitores";"qt_eleitores_aptos";"qt_eleitores_nao_aptos";"qt_eleitores_si";"qt_eleitores_sni";"qt_eleitores_compareceram";"qt_abstencoes";"vscv";"qt_votos_nominais";"qt_votos_computados";"qt_votos_brancos";"qt_votos_nulos";"qt_votos_nulos_vn";"qt_votos_nulos_vnt";"qt_votos_vp";"qt_votos_validos";"qt_votos_an";"qt_votos_anulados_sob_judice";"qt_votos_total"
1112;11;"TIÃO FLORES";"PP";"PP - PL / PP / MDB";"Não eleito";741;8,2;426;"MUNICIPAL";1;11;34;34;0;34;0;34;0;11732;11732;0;11732;0;9447;2285;0;9036;9036;94;317;317;0;0;9036;0;0;9447
1112;17;"EVERTON SOARES";"PSL";"PSL - PSL / SOLIDARIEDADE / PSD / DEM";"Não eleito";3328;36,83;426;"MUNICIPAL";1;11;34;34;0;34;0;34;0;11732;11732;0;11732;0;9447;2285;0;9036;9036;94;317;317;0;0;9036;0;0;9447
1112;45;"DELEGADO SERGIO LOPES";"PSDB";"PSDB - PROS / PODE / PSDB";"Eleito";3984;44,09;426;"MUNICIPAL";1;11;34;34;0;34;0;34;0;11732;11732;0;11732;0;9447;2285;0;9036;9036;94;317;317;0;0;9036;0;0;9447
1112;13;"NEIDE LOPES";"PT";"PT";"Não eleito";983;10,88;426;"MUNICIPAL";1;11;34;34;0;34;0;34;0;11732;11732;0;11732;0;9447;2285;0;9036;9036;94;317;317;0;0;9036;0;0;9447
1120;11;"CAETANO";"PP";"PP - PP / SOLIDARIEDADE / PSD";"Não eleito";2405;35,11;426;"MUNICIPAL";1;11;32;32;0;32;0;32;0;9169;9169;0;9169;0;7093;2076;0;6849;6849;54;190;190;0;0;6849;0;0;7093
1120;12;"HADAMÉS WILSON";"PDT";"PDT";"Não eleito";1237;18,06;426;"MUNICIPAL";1;11;32;32;0;32;0;32;0;9169;9169;0;9169;0;7093;2076;0;6849;6849;54;190;190;0;0;6849;0;0;7093
1120;15;"OLAVINHO";"MDB";"MDB - PL / MDB / PSDB";"Eleito";2638;38,52;426;"MUNICIPAL";1;11;32;32;0;32;0;32;0;9169;9169;0;9169;0;7093;2076;0;6849;6849;54;190;190;0;0;6849;0;0;7093
1120;90;"ROSA DO EURICO";"PROS";"PROS - PSL / PROS";"Não eleito";569;8,31;426;"MUNICIPAL";1;11;32;32;0;32;0;32;0;9169;9169;0;9169;0;7093;2076;0;6849;6849;54;190;190;0;0;6849;0;0;7093
1139;15;"FRANCIMAR FERNANDES";"MDB";"MDB - PL / MDB / PC do B / PSDB";"Não eleito";5716;36,89;426;"MUNICIPAL";1;11;63;63;0;63;0;63;0;21561;21561;0;21561;0;16218;5343;0;15496;15496;92;630;630;0;0;15496;0;0;16218
1139;13;"MAURO DEFESON";"PT";"PT";"Não eleito";706;4,56;426;"MUNICIPAL";1;11;63;63;0;63;0;63;0;21561;21561;0;21561;0;16218;5343;0;15496;15496;92;630;630;0;0;15496;0;0;16218
1139;17;"GERSON MEIRELES";"PSL";"PSL";"Não eleito";546;3,52;426;"MUNICIPAL";1;11;63;63;0;63;0;63;0;21561;21561;0;21561;0;16218;5343;0;15496;15496;92;630;630;0;0;15496;0;0;16218
1139;11;"KIEFER CAVALCANTE";"PP";"PP - PP / PSD / DEM / SOLIDARIEDADE / PDT / PSB";"Eleito";8528;55,03;426;"MUNICIPAL";1;11;63;63;0;63;0;63;0;21561;21561;0;21561;0;16218;5343;0;15496;15496;92;630;630;0;0;15496;0;0;16218
1392;70;"JARBAS SOSTER";"AVANTE";"AVANTE - DC / PMN / PMB / PATRIOTA / AVANTE";"Não eleito";2294;1,29;426;"MUNICIPAL";1;11;707;707;0;707;0;707;0;256673;256673;0;256673;0;186769;69904;0;177462;177462;3368;5939;5939;0;0;177462;0;0;186769
1392;13;"DANIEL ZEN";"PT";"PT - PT / PSOL / PC do B";"Não eleito";7121;4,01;426;"MUNICIPAL";1;11;707;707;0;707;0;707;0;256673;256673;0;256673;0;186769;69904;0;177462;177462;3368;5939;5939;0;0;177462;0;0;186769
1392;11;"TIÃO BOCALOM";"PP";"PP - PSD / PP";"2º turno";87987;49,58;426;"MUNICIPAL";1;11;707;707;0;707;0;707;0;256673;256673;0;256673;0;186769;69904;0;177462;177462;3368;5939;5939;0;0;177462;0;0;186769
1392;45;"MINORU KINPARA";"PSDB";"PSDB - CIDADANIA / PSL / PSDB";"Não eleito";25939;14,62;426;"MUNICIPAL";1;11;707;707;0;707;0;707;0;256673;256673;0;256673;0;186769;69904;0;177462;177462;3368;5939;5939;0;0;177462;0;0;186769
1392;20;"JAMYL ASFURY";"PSC";"PSC";"Não eleito";1509;0,85;426;"MUNICIPAL";1;11;707;707;0;707;0;707;0;256673;256673;0;256673;0;186769;69904;0;177462;177462;3368;5939;5939;0;0;177462;0;0;186769
1392;15;"ROBERTO DUARTE";"MDB";"MDB - MDB / REPUBLICANOS / PTB / PL";"Não eleito";12362;6,97;426;"MUNICIPAL";1;11;707;707;0;707;0;707;0;256673;256673;0;256673;0;186769;69904;0;177462;177462;3368;5939;5939;0;0;177462;0;0;186769
1392;40;"SOCORRO NERI";"PSB";"PSB - PSB / PODE / PROS / SOLIDARIEDADE / PDT / PV / DEM / PTC";"2º turno";40250;22,68;426;"MUNICIPAL";1;11;707;707;0;707;0;707;0;256673;256673;0;256673;0;186769;69904;0;177462;177462;3368;5939;5939;0;0;177462;0;0;186769
1457;11;"GERLEN DINIZ";"PP";"PP - CIDADANIA / PTB / PDT / PP / PSDB";"Não eleito";9329;43,37;426;"MUNICIPAL";1;11;87;87;0;87;0;87;0;28985;28985;0;28985;0;22382;6603;0;21512;21512;234;636;636;0;0;21512;0;0;22382
1457;15;"MAZINHO SERAFIM";"MDB";"MDB - DEM / PSB / PL / PSD / MDB / PSL";"Eleito";12183;56,63;426;"MUNICIPAL";1;11;87;87;0;87;0;87;0;28985;28985;0;28985;0;22382;6603;0;21512;21512;234;636;636;0;0;21512;0;0;22382
1473;15;"JUNIOR FEITOSA";"MDB";"MDB - PL / PP / MDB / DC";"Não eleito";3634;19,58;426;"MUNICIPAL";1;11;92;92;0;92;0;92;0;26354;26354;0;26354;0;19649;6705;0;18562;18562;199;888;888;0;0;18562;0;0;19649
1473;12;"MARIA LUCINÉIA";"PDT";"PDT - PDT / PSD";"Eleito";5461;29,42;426;"MUNICIPAL";1;11;92;92;0;92;0;92;0;26354;26354;0;26354;0;19649;6705;0;18562;18562;199;888;888;0;0;18562;0;0;19649
1473;14;"R SETE";"PTB";"PTB";"Não eleito";57;0,31;426;"MUNICIPAL";1;11;92;92;0;92;0;92;0;26354;26354;0;26354;0;19649;6705;0;18562;18562;199;888;888;0;0;18562;0;0;19649
1473;25;"ABDIAS DA FARMACIA";"DEM";"DEM - DEM / PSDB";"Não eleito";4650;25,05;426;"MUNICIPAL";1;11;92;92;0;92;0;92;0;26354;26354;0;26354;0;19649;6705;0;18562;18562;199;888;888;0;0;18562;0;0;19649
1473;65;"BATISTA";"PC do B";"PC do B - PT / PC do B / PSB";"Não eleito";4480;24,14;426;"MUNICIPAL";1;11;92;92;0;92;0;92;0;26354;26354;0;26354;0;19649;6705;0;18562;18562;199;888;888;0;0;18562;0;0;19649
